City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
133,Port Elizabeth,ZA,-33.918,25.5701,61.09,72,90,27.63,overcast clouds,2021-08-01 21:38:02
134,Bardiyah,LY,31.7561,25.0865,80.38,75,0,13.62,clear sky,2021-08-01 21:38:03
135,Desbiens,CA,48.4178,-71.9495,72.07,68,96,3.89,light rain,2021-08-01 21:38:03
136,Mana,GF,5.6592,-53.7767,79.47,83,58,8.32,moderate rain,2021-08-01 21:38:03
137,Saint-Philippe,RE,-21.3585,55.7679,67.55,77,49,9.08,scattered clouds,2021-08-01 21:38:04
138,Aberdeen,GB,57.1437,-2.0981,55.2,85,90,9.22,overcast clouds,2021-08-01 21:36:33
139,Bluff,NZ,-46.6,168.3333,41.81,84,97,7.09,overcast clouds,2021-08-01 21:38:04
140,Clyde River,CA,70.4692,-68.5914,43.03,87,90,18.41,overcast clouds,2021-08-01 21:38:05
141,Katsuura,JP,35.1333,140.3,80.71,78,3,5.26,clear sky,2021-08-01 21:38:05
142,Bourail,NC,-21.5667,165.4833,67.84,52,14,6.64,few clouds,2021-08-01 21:38:05
143,Kaitangata,NZ,-46.2817,169.8464,45.75,93,32,4.5,scattered clouds,2021-08-01 21:38:06
144,Emerald,AU,-23.5333,148.1667,57.34,100,0,4.61,clear sky,2021-08-01 21:38:06
145,Jawhar,SO,2.7809,45.5005,72.99,88,58,12.53,light rain,2021-08-01 21:38:06
146,Thompson,CA,55.7435,-97.8558,84.36,32,20,12.66,few clouds,2021-08-01 21:38:07
147,Hope,US,33.6671,-93.5916,95.05,41,100,2.42,overcast clouds,2021-08-01 21:38:07
148,Luorong,CN,24.4058,109.6086,77.5,88,92,1.79,overcast clouds,2021-08-01 21:38:07
149,Hamoir,BE,50.4268,5.533,59.85,96,99,3.06,overcast clouds,2021-08-01 21:38:08
150,Kungurtug,RU,50.5994,97.5228,50.34,96,100,4.88,overcast clouds,2021-08-01 21:38:08
151,Ndago,TZ,-4.6,34.35,63.73,52,37,13.0,scattered clouds,2021-08-01 21:38:09
152,Lebu,CL,-37.6167,-73.65,50.88,75,37,19.08,scattered clouds,2021-08-01 21:38:09
153,Beloha,MG,-25.1667,45.05,66.25,58,0,8.39,clear sky,2021-08-01 21:38:09
154,Gouyave,GD,12.1646,-61.7296,83.17,79,20,18.41,few clouds,2021-08-01 21:38:10
155,Sakaiminato,JP,35.55,133.2333,78.73,88,75,5.75,broken clouds,2021-08-01 21:38:10
156,Constitucion,CL,-35.3333,-72.4167,55.38,66,0,10.78,clear sky,2021-08-01 21:38:10
157,East London,ZA,-33.0153,27.9116,62.8,60,29,19.93,scattered clouds,2021-08-01 21:38:11
158,Lat Yao,TH,15.751,99.7893,80.28,69,100,7.81,light rain,2021-08-01 21:38:11
159,Berekua,DM,15.2333,-61.3167,84.49,83,40,8.05,scattered clouds,2021-08-01 21:38:12
160,Lashma,RU,54.9321,41.1438,66.45,65,34,4.05,scattered clouds,2021-08-01 21:38:12
161,Ambilobe,MG,-13.2,49.05,67.8,81,5,3.44,clear sky,2021-08-01 21:38:12
162,Kavieng,PG,-2.5744,150.7967,82.71,75,3,9.24,clear sky,2021-08-01 21:38:13
163,Kodiak,US,57.79,-152.4072,60.31,77,90,4.61,overcast clouds,2021-08-01 21:38:13
164,Umm Lajj,SA,25.0213,37.2685,87.58,48,5,5.28,clear sky,2021-08-01 21:38:13
165,Calvinia,ZA,-31.4707,19.776,51.31,34,26,1.72,scattered clouds,2021-08-01 21:38:13
166,Banda Aceh,ID,5.5577,95.3222,79.74,73,99,15.48,overcast clouds,2021-08-01 21:38:14
167,Port Alfred,ZA,-33.5906,26.891,60.84,83,36,25.93,scattered clouds,2021-08-01 21:38:14
168,Morondava,MG,-20.2833,44.2833,66.65,86,2,4.52,clear sky,2021-08-01 21:38:14
169,Jadu,LY,31.953,12.0261,89.1,13,30,15.95,scattered clouds,2021-08-01 21:38:15
170,Gairo,IT,39.8497,9.5047,69.01,64,70,6.11,broken clouds,2021-08-01 21:38:15
171,Chicama,PE,-7.8447,-79.1469,64.94,68,4,8.95,clear sky,2021-08-01 21:38:15
172,Novyy Urengoy,RU,66.0833,76.6333,57.34,63,100,12.01,overcast clouds,2021-08-01 21:38:16
173,Carnarvon,AU,-24.8667,113.6333,50.07,66,0,11.5,clear sky,2021-08-01 21:38:16
