City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
609,Saint Anthony,US,80.92,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
617,Puerto Asis,CO,75.76,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
623,Hay River,CA,82.38,broken clouds,60.8156,-115.7999,Ptarmigan Inn
632,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
636,Bonthe,SL,76.73,light rain,7.5264,-12.505,Bonthe Holiday Village
642,Santo Tomas,PH,81.57,light rain,14.1079,121.1414,Microtel by Wyndham Batangas
643,Pitimbu,BR,77.59,clear sky,-7.4706,-34.8086,Reserva do Abiaí
648,Shingu,JP,79.92,broken clouds,33.7333,135.9833,Shingu UI Hotel
649,Port-Gentil,GA,75.16,light rain,-0.7193,8.7815,Fengshui Residence
654,Slave Lake,CA,80.58,few clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
656,Sigli,ID,80.4,overcast clouds,5.3848,95.9609,Losmen Dua Mali
657,Mahina,PF,80.37,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
661,Otake,JP,81.01,broken clouds,34.2,132.2167,Iwakuni Kokusai Kanko Hotel
662,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
664,Parnamirim,BR,78.69,clear sky,-5.9156,-35.2628,Pousada Joaci
668,Pandegelang,ID,76.66,few clouds,-6.31,106.1058,Rizki Hotel & Resto
670,Balkhash,KZ,77.99,clear sky,46.844,74.9804,Family
673,Rabaul,PG,79.79,few clouds,-4.1967,152.1721,Rabaul Hotel
675,Sompeta,IN,82.4,overcast clouds,18.9333,84.6,Netaji's Home
676,Marion,US,80.92,broken clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
677,Black River,JM,82.4,light rain,18.0264,-77.8487,Idlers' Rest Beach Hotel
678,Naze,JP,79.2,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
686,Bemban,MY,76.8,few clouds,2.2684,102.3746,NeoHomeStay Gapam Lestari
688,Kirakira,SB,78.39,overcast clouds,-10.4544,161.9205,SanBiz Lodge
